"id"	"cityid"	"countyname"	"weatherid"
"445"	"58"	"安国"	"CN101090220"
"446"	"58"	"高碑店"	"CN101090221"
"447"	"58"	"涞水"	"CN101090222"
"448"	"58"	"定兴"	"CN101090223"
"449"	"58"	"清苑"	"CN101090224"
"450"	"58"	"博野"	"CN101090225"
"451"	"59"	"张家口"	"CN101090301"
"452"	"59"	"宣化"	"CN101090302"
"453"	"59"	"张北"	"CN101090303"
"454"	"59"	"康保"	"CN101090304"
"455"	"59"	"沽源"	"CN101090305"
"456"	"59"	"尚义"	"CN101090306"
"457"	"59"	"蔚县"	"CN101090307"
"458"	"59"	"阳原"	"CN101090308"
"459"	"59"	"怀安"	"CN101090309"
"460"	"59"	"万全"	"CN101090310"
"461"	"59"	"怀来"	"CN101090311"
"462"	"59"	"涿鹿"	"CN101090312"
"463"	"59"	"赤城"	"CN101090313"
"464"	"59"	"崇礼"	"CN101090314"
"465"	"60"	"唐山"	"CN101090501"
"466"	"60"	"丰南"	"CN101090502"
"467"	"60"	"丰润"	"CN101090503"
"468"	"60"	"滦县"	"CN101090504"
"469"	"60"	"滦南"	"CN101090505"
"470"	"60"	"乐亭"	"CN101090506"
"471"	"60"	"迁西"	"CN101090507"
"472"	"60"	"玉田"	"CN101090508"
"473"	"60"	"唐海"	"CN101090509"
"474"	"60"	"遵化"	"CN101090510"
"475"	"60"	"迁安"	"CN101090511"
"476"	"60"	"曹妃甸"	"CN101090512"
"477"	"61"	"廊坊"	"CN101090601"
"478"	"61"	"固安"	"CN101090602"
"479"	"61"	"永清"	"CN101090603"
"480"	"61"	"香河"	"CN101090604"
"481"	"61"	"大城"	"CN101090605"
"482"	"61"	"文安"	"CN101090606"
"483"	"61"	"大厂"	"CN101090607"
"484"	"61"	"霸州"	"CN101090608"
"485"	"61"	"三河"	"CN101090609"
"486"	"62"	"沧州"	"CN101090701"
"487"	"62"	"青县"	"CN101090702"
"488"	"62"	"东光"	"CN101090703"
"489"	"62"	"海兴"	"CN101090704"
"490"	"62"	"盐山"	"CN101090705"
"491"	"62"	"肃宁"	"CN101090706"
"492"	"62"	"南皮"	"CN101090707"
"493"	"62"	"吴桥"	"CN101090708"
"494"	"62"	"献县"	"CN101090709"
"495"	"62"	"孟村"	"CN101090710"
"496"	"62"	"泊头"	"CN101090711"
"497"	"62"	"任丘"	"CN101090712"
"498"	"62"	"黄骅"	"CN101090713"
"499"	"62"	"河间"	"CN101090714"
"500"	"62"	"沧县"	"CN101090716"
"501"	"63"	"衡水"	"CN101090801"
"502"	"63"	"枣强"	"CN101090802"
"503"	"63"	"武邑"	"CN101090803"
"504"	"63"	"武强"	"CN101090804"
"505"	"63"	"饶阳"	"CN101090805"
"506"	"63"	"安平"	"CN101090806"
"507"	"63"	"故城"	"CN101090807"
"508"	"63"	"景县"	"CN101090808"
"509"	"63"	"阜城"	"CN101090809"
"510"	"63"	"冀州"	"CN101090810"
"511"	"63"	"深州"	"CN101090811"
"512"	"64"	"邢台"	"CN101090901"
"513"	"64"	"临城"	"CN101090902"
"514"	"64"	"内丘"	"CN101090904"
"515"	"64"	"柏乡"	"CN101090905"
"516"	"64"	"隆尧"	"CN101090906"
"517"	"64"	"南和"	"CN101090907"
"518"	"64"	"宁晋"	"CN101090908"
"519"	"64"	"巨鹿"	"CN101090909"
"520"	"64"	"新河"	"CN101090910"
"521"	"64"	"广宗"	"CN101090911"
"522"	"64"	"平乡"	"CN101090912"
"523"	"64"	"威县"	"CN101090913"
"524"	"64"	"清河"	"CN101090914"
"525"	"64"	"临西"	"CN101090915"
"526"	"64"	"南宫"	"CN101090916"
"527"	"64"	"沙河"	"CN101090917"
"528"	"64"	"任县"	"CN101090918"
"529"	"65"	"邯郸"	"CN101091001"
"530"	"65"	"峰峰"	"CN101091002"
"531"	"65"	"临漳"	"CN101091003"
"532"	"65"	"成安"	"CN101091004"
"533"	"65"	"大名"	"CN101091005"
"534"	"65"	"涉县"	"CN101091006"
"535"	"65"	"磁县"	"CN101091007"
"536"	"65"	"肥乡"	"CN101091008"
"537"	"65"	"永年"	"CN101091009"
"538"	"65"	"邱县"	"CN101091010"
"539"	"65"	"鸡泽"	"CN101091011"
"540"	"65"	"广平"	"CN101091012"
"541"	"65"	"馆陶"	"CN101091013"
"542"	"65"	"魏县"	"CN101091014"
"543"	"65"	"曲周"	"CN101091015"
"544"	"65"	"武安"	"CN101091016"
"545"	"66"	"秦皇岛"	"CN101091101"
"546"	"66"	"青龙"	"CN101091102"
"547"	"66"	"昌黎"	"CN101091103"
"548"	"66"	"抚宁"	"CN101091104"
"549"	"66"	"卢龙"	"CN101091105"
"550"	"66"	"北戴河"	"CN101091106"
"551"	"68"	"安阳"	"CN101180201"
"552"	"68"	"汤阴"	"CN101180202"
"553"	"68"	"滑县"	"CN101180203"
"554"	"68"	"内黄"	"CN101180204"
"555"	"68"	"林州"	"CN101180205"
"556"	"67"	"郑州"	"CN101180101"
"557"	"67"	"巩义"	"CN101180102"
"558"	"67"	"荥阳"	"CN101180103"
"559"	"67"	"登封"	"CN101180104"
"560"	"67"	"新密"	"CN101180105"
"561"	"67"	"新郑"	"CN101180106"
"562"	"67"	"中牟"	"CN101180107"
"563"	"67"	"上街"	"CN101180108"
"564"	"70"	"许昌"	"CN101180401"
"565"	"70"	"鄢陵"	"CN101180402"
"566"	"70"	"襄城"	"CN101180403"
"567"	"70"	"长葛"	"CN101180404"
"568"	"70"	"禹州"	"CN101180405"
"569"	"71"	"平顶山"	"CN101180501"
"570"	"71"	"郏县"	"CN101180502"
"571"	"71"	"宝丰"	"CN101180503"
"572"	"71"	"汝州"	"CN101180504"
"573"	"71"	"叶县"	"CN101180505"
"574"	"71"	"舞钢"	"CN101180506"
"575"	"71"	"鲁山"	"CN101180507"
"576"	"71"	"石龙"	"CN101180508"
"577"	"72"	"信阳"	"CN101180601"
"578"	"72"	"息县"	"CN101180602"
"579"	"72"	"罗山"	"CN101180603"
"580"	"72"	"光山"	"CN101180604"
"581"	"72"	"新县"	"CN101180605"
"582"	"72"	"淮滨"	"CN101180606"
"583"	"72"	"潢川"	"CN101180607"
"584"	"72"	"固始"	"CN101180608"
"585"	"72"	"商城"	"CN101180609"
"586"	"74"	"开封"	"CN101180801"
"587"	"74"	"杞县"	"CN101180802"
"588"	"74"	"尉氏"	"CN101180803"
"589"	"74"	"通许"	"CN101180804"
"590"	"74"	"兰考"	"CN101180805"
"591"	"73"	"南阳"	"CN101180701"
"592"	"73"	"南召"	"CN101180702"
"593"	"73"	"方城"	"CN101180703"
"594"	"73"	"社旗"	"CN101180704"
"595"	"73"	"西峡"	"CN101180705"
"596"	"73"	"内乡"	"CN101180706"
"597"	"73"	"镇平"	"CN101180707"
"598"	"73"	"淅川"	"CN101180708"
"599"	"73"	"新野"	"CN101180709"
"600"	"73"	"唐河"	"CN101180710"
"601"	"73"	"邓州"	"CN101180711"
"602"	"73"	"桐柏"	"CN101180712"
"603"	"69"	"新乡"	"CN101180301"
"604"	"69"	"获嘉"	"CN101180302"
"605"	"69"	"原阳"	"CN101180303"
"606"	"69"	"辉县"	"CN101180304"
"607"	"69"	"卫辉"	"CN101180305"
"608"	"69"	"延津"	"CN101180306"
"609"	"69"	"封丘"	"CN101180307"
"610"	"69"	"长垣"	"CN101180308"
"611"	"75"	"洛阳"	"CN101180901"
"612"	"75"	"新安"	"CN101180902"
"613"	"75"	"孟津"	"CN101180903"
"614"	"75"	"宜阳"	"CN101180904"
"615"	"75"	"洛宁"	"CN101180905"
"616"	"75"	"伊川"	"CN101180906"
"617"	"75"	"嵩县"	"CN101180907"
"618"	"75"	"偃师"	"CN101180908"
"619"	"75"	"栾川"	"CN101180909"
"620"	"75"	"汝阳"	"CN101180910"
"621"	"75"	"吉利"	"CN101180911"
"622"	"76"	"商丘"	"CN101181001"
"623"	"76"	"睢县"	"CN101181003"
